Title,URL,Published Date,View Count,Like Count,Comment Count
【虫と土の話】タマネギの収穫とジャガイモの手入れから循環を考える:2018年5月14日農業記録,https://www.youtube.com/watch?v=_REDhRS_oD4,2018-12-30T16:31:15Z,2734,49,4
【苗作り】トマトなどの育苗用培養土を節約する方法,https://www.youtube.com/watch?v=bmfCL8VRnUo,2018-12-29T13:13:02Z,19914,98,5
【虫と野菜の話】4月12日:アブラムシの付かない自然農のソラマメ,https://www.youtube.com/watch?v=xk39G41TmeQ,2018-12-28T07:32:09Z,17062,119,7
【苗作り】夏野菜の苗の様子と植替え時期の注意点について:2018年4月11日農業記録,https://www.youtube.com/watch?v=QOv7LfCMTOk,2018-12-28T04:31:22Z,6068,40,1
【自然農法の畑】4月11日:キヌサヤ、イチゴの開花、3年目のアスパラ、各種菜花,https://www.youtube.com/watch?v=INaMNG1Eo2M,2018-12-27T14:30:51Z,4249,42,2
焼き土に肥料分を混ぜて育苗ポットを作る【育苗の準備】2018年3月27日,https://www.youtube.com/watch?v=P6oJvk_hnNQ,2018-12-26T22:30:01Z,6330,30,2
【自然農法の畑】3月27日:春に咲く野菜の花と草花たち、残す草と刈り取る草について,https://www.youtube.com/watch?v=WcYKgxwB-7w,2018-12-26T13:25:28Z,6339,53,2
《新畑開拓》④3月～5月まとめ:新しく借りた畑の1年目と共栄作物について,https://www.youtube.com/watch?v=7yOBhlFNTNs,2018-12-26T12:25:27Z,5148,50,11
【種苗法･育成者権の話】ジャガイモの自家増殖をする場合の注意点:2018年12月6日,https://www.youtube.com/watch?v=0vvtV-5zib4,2018-12-24T12:52:07Z,5292,41,8
【自然農法の畑】種まき後の豆類、葉物、根菜の様子:2018年12月5日農業記録,https://www.youtube.com/watch?v=0MSvrInHB4I,2018-12-22T06:35:37Z,6497,44,4
【鎌の話②】場所と用途に応じた鎌の使い分け方,https://www.youtube.com/watch?v=eYeIqoFQ4R8,2018-12-21T13:49:56Z,21604,154,3
【鎌の話①】鎌の種類と初心者にお勧めの鎌について:2018年12月19日,https://www.youtube.com/watch?v=dGuw6UcFd20,2018-12-21T04:16:03Z,21313,181,8
【自然農法の畑】春菊･白菜の様子、収穫後のジャガイモ畝など:2018年12月16日農業記録,https://www.youtube.com/watch?v=BVPPVJ5DgxA,2018-12-19T11:31:31Z,4304,35,7
【タネの話】大根の収穫と固定種・F1品種について:2018年12月16日農業記録,https://www.youtube.com/watch?v=aStkYXvbA-I,2018-12-17T14:58:07Z,13230,137,16
【自然農法の畑】タネ採り用根菜類の移植について:2018年11月29日農業記録,https://www.youtube.com/watch?v=E26zVWZPSuE,2018-12-17T09:37:35Z,6200,49,4
【家庭菜園の畑作り】溝切りと畝立て･農具の使い方:2018年11月21日,https://www.youtube.com/watch?v=RU5q9JepXLQ,2018-12-14T13:05:18Z,17853,104,1
【設備作り】ビニールハウス内に育苗用の棚を作る,https://www.youtube.com/watch?v=WDp0pg75Q7Q,2018-12-13T10:57:35Z,8386,20,10
【虫と土の話】ニンニクの定植・生態系利用の話:2018年10月25日,https://www.youtube.com/watch?v=bucrzOJUddk,2018-12-02T16:37:48Z,7691,61,8
【畝作りの注意点】タマネギの定植:2018年11月13日農業記録,https://www.youtube.com/watch?v=G3YSieF6PNg,2018-11-27T15:58:47Z,61882,218,7
【自然農法の畑】秋蒔き野菜の途中経過:2018年11月13日農業記録,https://www.youtube.com/watch?v=XgW_t8yp71w,2018-11-20T13:29:16Z,4818,28,8
【栽培のコツ】ライ麦を生やして風と霜除けにする:2018年11月1日農業記録,https://www.youtube.com/watch?v=Hmq8hPRueKs,2018-11-15T13:26:59Z,10762,96,7
【栽培のコツ】モロヘイヤの頂芽優勢と混植について:2018年9月25日農業記録,https://www.youtube.com/watch?v=34m0k8FDF8M,2018-10-04T13:59:03Z,8118,30,7
【踏みつけ播種】自然農の種まき～秋編～2018年9月18日農業記録,https://www.youtube.com/watch?v=kqIvVKuuYTo,2018-09-25T14:11:56Z,10643,72,3
【苗作り】種まきから1ヶ月後の夏野菜苗の発芽状況:2018年3月20日農業記録,https://www.youtube.com/watch?v=mZuUtt52X_E,2018-09-21T03:06:14Z,3175,29,5
【土の話】3月1日:耕した土の弱点,https://www.youtube.com/watch?v=L6zup8uQvHs,2018-09-11T02:56:28Z,16007,115,8
【畑の手入れ】土の表面を草や刈草で覆うメリット:2018年2月27日/自然農法,https://www.youtube.com/watch?v=wIbISdTgryE,2018-09-10T13:31:43Z,25441,133,5
【畑の手入れ】2月27日:畝と畝間の補修作業について,https://www.youtube.com/watch?v=cKslMwWt-YA,2018-09-10T06:40:39Z,6799,49,1
【耕さない畝作り】スコップとレーキで畝を作る:2018年8月29日natural farming,https://www.youtube.com/watch?v=6VUczcmMZGw,2018-08-29T14:37:51Z,107445,442,17
